Category,Food name en_GB,Food name en_US,Food name en_CA,Food name en_AU,Food name en_NZ,Food name en_IE,Overall status,Small portion desc,Large portion desc,Small portion oligos,Small portion fructose,Small portion polyols,Small portion lactose,Large portion oligos,Large portion fructose,Large portion polyols,Large portion lactose,Notes
condiments,Fish sauce,Fish sauce,Fish sauce,Fish sauce,Fish sauce,Fish sauce,low,Half a tablespoon (22g),One tablespoon (44g),low,low,low,low,low,low,low,low,
condiments,Five spice,Five spice,Five spice,Five spice,Five spice,Five spice,low,Half a teaspoon (1g),One teaspoon (2g),low,low,low,low,low,low,low,low,
nuts_seeds,Flax seeds / linseeds,Flax seeds / linseeds,Flax seeds / linseeds,Flax seeds / linseeds,Flax seeds / linseeds,Flax seeds / linseeds,low,One tablespoon (15g),n/a,low,low,low,low,n/a,n/a,n/a,n/a,Larger servings (more than one tablespoon) should be avoided
nuts_seeds,Four bean mix (canned),Four bean mix (canned),Four bean mix (canned),Four bean mix (canned),Four bean mix (canned),Four bean mix (canned),high,Quarter of a cup (50g),Half a cup (100g),high,high,low,low,high,high,low,low,
bread_cereal_rice_pasta,Freekeh,Freekeh,Freekeh,Freekeh,Freekeh,Freekeh,high,Quarter of a cup (44g),Half a cup (88g),high,low,low,low,high,low,low,low,
confectionery_sugars_sweeteners,Fruit bar,Fruit bar,Fruit bar,Fruit bar,Fruit bar,Fruit bar,high,Half a bar (8g),One bar (16g),high,high,low,low,high,high,low,low,
vegetables,Galangal,Galangal,Galangal,Galangal,Galangal,Galangal,low,Half a 3.5cm piece (9g),One 3.5cm piece (18g),low,low,low,low,low,low,low,low,
nuts_seeds,Garbanzo beans (canned),Garbanzo beans (canned),Garbanzo beans (canned),Garbanzo beans (canned),Garbanzo beans (canned),Garbanzo beans (canned),medium,Quarter of a cup (42g),Half a cup (84g),low,low,low,low,medium,low,low,low,Larger servings (100g or more) should be avoided
vegetables,Garden peas (canned),Garden peas (canned),Garden peas (canned),Garden peas (canned),Garden peas (canned),Garden peas (canned),high,Half a cup (42g),One cup (86g),low,low,low,low,high,low,low,low,
vegetables,Garden peas (frozen),Garden peas (frozen),Garden peas (frozen),Garden peas (frozen),Garden peas (frozen),Garden peas (frozen),high,Quarter of a cup (36g),Half a cup (72g),high,low,low,low,high,low,low,low,
vegetables,Garlic,Garlic,Garlic,Garlic,Garlic,Garlic,high,Half a clove (1g),One clove (3g),high,low,low,low,high,low,low,low,
drinks,Gin,Gin,Gin,Gin,Gin,Gin,low,15ml,30ml,low,low,low,low,low,low,low,low,Alcohol is a gut irritant; limited intake is advised and combine with food
vegetables,Ginger (root),Ginger (root),Ginger (root),Ginger (root),Ginger (root),Ginger (root),low,Half a teaspoon (1g),One teaspoon (3g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Gluten free bread,Gluten free bread,Gluten free bread,Gluten free bread,Gluten free bread,Gluten free bread,low,One slice (26g),Two slices (52g),low,low,low,low,low,low,low,low,
bread_cereal_rice_pasta,Gluten free dark multiseed tapioca flour bread,Gluten free dark multiseed tapioca flour bread,Gluten free dark multiseed tapioca flour bread,Gluten free dark multiseed tapioca flour bread,Gluten free dark multiseed tapioca flour bread,Gluten free dark multiseed tapioca flour bread,low,One slice (25g),Two slices (50g),low,low,low,low,low,low,low,low,Larger servings (4+ slices) should be avoided
